date,value
1970-01-01,7.8
1970-02-01,7.8
1970-03-01,7.8
1970-04-01,7.8
1970-05-01,7.8
1970-06-01,7.8
1970-07-01,7.8
1970-08-01,7.8
1970-09-01,7.8
1970-10-01,7.8
1970-11-01,7.8
1970-12-01,7.8
1971-01-01,8.68
1971-02-01,8.68
1971-03-01,8.68
1971-04-01,8.68
1971-05-01,8.68
1971-06-01,8.68
1971-07-01,8.68
1971-08-01,8.68
1971-09-01,8.68
1971-10-01,8.68
1971-11-01,8.68
1971-12-01,8.68
1972-01-01,9.6
1972-02-01,9.6
1972-03-01,9.6
1972-04-01,9.6
1972-05-01,9.6
1972-06-01,9.6
1972-07-01,9.6
1972-08-01,9.6
1972-09-01,9.6
1972-10-01,9.6
1972-11-01,9.6
1972-12-01,9.6
1973-01-01,11.48
1973-02-01,11.48
1973-03-01,11.48
1973-04-01,11.48
1973-05-01,11.48
1973-06-01,11.48
1973-07-01,11.48
1973-08-01,11.48
1973-09-01,11.48
1973-10-01,11.48
1973-11-01,11.48
1973-12-01,11.48
1974-01-01,16.89
1974-02-01,16.89
1974-03-01,16.89
1974-04-01,16.89
1974-05-01,16.89
1974-06-01,16.89
1974-07-01,16.89
1974-08-01,16.89
1974-09-01,16.89
1974-10-01,16.89
1974-11-01,16.89
1974-12-01,16.89
1975-01-01,26.84
1975-02-01,26.84
1975-03-01,26.84
1975-04-01,26.84
1975-05-01,26.84
1975-06-01,26.84
1975-07-01,26.84
1975-08-01,26.84
1975-09-01,26.84
1975-10-01,26.84
1975-11-01,26.84
1975-12-01,26.84
1976-01-01,27.16
1976-02-01,27.16
1976-03-01,27.16
1976-04-01,27.16
1976-05-01,27.16
1976-06-01,27.16
1976-07-01,27.16
1976-08-01,27.16
1976-09-01,27.16
1976-10-01,27.16
1976-11-01,27.16
1976-12-01,27.16
1977-01-01,28.68
1977-02-01,28.68
1977-03-01,28.68
1977-04-01,28.68
1977-05-01,28.67777777778
1977-06-01,28.67777777778
1977-07-01,28.67777777778
1977-08-01,28.67777777778
1977-09-01,28.67777777778
1977-10-01,28.67777777778
1977-11-01,28.67777777778
1977-12-01,28.67777777778
1978-01-01,27.86888888889
1978-02-01,27.06
1978-03-01,27.06
1978-04-01,27.06
1978-05-01,28.605
1978-06-01,30.15
1978-07-01,30.15
1978-08-01,30.15
1978-09-01,30.15
1978-10-01,30.15
1978-11-01,30.15
1978-12-01,30.15
1979-01-01,30.15
1979-02-01,30.15
1979-03-01,30.15
1979-04-01,30.15
1979-05-01,30.15
1979-06-01,30.15
1979-07-01,30.15
1979-08-01,31.26
1979-09-01,31.26
1979-10-01,32.37
1979-11-01,32.37
1979-12-01,32.37
1980-01-01,32.37
1980-02-01,32.37
1980-03-01,32.37
1980-04-01,39.54
1980-05-01,40.14
1980-06-01,40.74
1980-07-01,40.74
1980-08-01,44.24
1980-09-01,44.61
1980-10-01,44.61
1980-11-01,44.98
1980-12-01,44.98
1981-01-01,44.98
1981-02-01,44.98
1981-03-01,44.98
1981-04-01,56.5
1981-05-01,56.5
1981-06-01,56.5
1981-07-01,56.5
1981-08-01,56.5
1981-09-01,56.5
1981-10-01,56.5
1981-11-01,56.5
1981-12-01,56.5
1982-01-01,55.61
1982-02-01,55.61
1982-03-01,55.61
1982-04-01,55.61
1982-05-01,55.61
1982-06-01,55.61
1982-07-01,55.61
1982-08-01,55.61
1982-09-01,55.61
1982-10-01,55.61
1982-11-01,55.61
1982-12-01,45.5
1983-01-01,43.0
1983-02-01,43.0
1983-03-01,43.0
1983-04-01,43.0
1983-05-01,43.0
1983-06-01,43.0
1983-07-01,34.75
1983-08-01,34.75
1983-09-01,34.75
1983-10-01,34.75
1983-11-01,32.0
1983-12-01,29.25
1984-01-01,29.25
1984-02-01,29.25
1984-03-01,29.25
1984-04-01,29.25
1984-05-01,29.25
1984-06-01,31.75
1984-07-01,31.75
1984-08-01,31.75
1984-09-01,31.75
1984-10-01,31.75
1984-11-01,32.75
1984-12-01,33.75
1985-01-01,33.75
1985-02-01,33.75
1985-03-01,33.75
1985-04-01,33.75
1985-05-01,33.75
1985-06-01,33.75
1985-07-01,33.75
1985-08-01,33.75
1985-09-01,33.75
1985-10-01,33.75
1985-11-01,33.75
1985-12-01,33.75
1986-01-01,33.75
1986-02-01,33.75
1986-03-01,30.75
1986-04-01,30.75
1986-05-01,30.75
1986-06-01,30.75
1986-07-01,30.75
1986-08-01,30.75
1986-09-01,30.75
1986-10-01,30.75
1986-11-01,30.75
1986-12-01,29.25
1987-01-01,29.25
1987-02-01,29.25
1987-03-01,29.25
1987-04-01,24.75
1987-05-01,24.75
1987-06-01,24.75
1987-07-01,27.0
1987-08-01,27.0
1987-09-01,27.0
1987-10-01,27.0
1987-11-01,29.0
1987-12-01,31.0
1988-01-01,31.0
1988-02-01,31.0
1988-03-01,33.0
1988-04-01,33.0
1988-05-01,33.0
1988-06-01,36.0
1988-07-01,36.0
1988-08-01,36.0
1988-09-01,37.0
1988-10-01,37.0
1988-11-01,37.5
1988-12-01,38.0
1989-01-01,38.0
1989-02-01,38.0
1989-03-01,38.0
1989-04-01,38.0
1989-05-01,38.0
1989-06-01,38.0
1989-07-01,38.0
1989-08-01,38.0
1989-09-01,38.0
1989-10-01,38.0
1989-11-01,38.0
1989-12-01,38.0
1990-01-01,38.0
1990-02-01,38.0
1990-03-01,38.0
1990-04-01,38.0
1990-05-01,40.5
1990-06-01,40.5
1990-07-01,40.5
1990-08-01,40.5
1990-09-01,40.5
1990-10-01,40.5
1990-11-01,40.5
1990-12-01,40.5
1991-01-01,40.5
1991-02-01,40.5
1991-03-01,39.5
1991-04-01,39.5
1991-05-01,39.5
1991-06-01,39.5
1991-07-01,39.5
1991-08-01,39.5
1991-09-01,39.5
1991-10-01,39.5
1991-11-01,39.5
1991-12-01,39.5
1992-01-01,39.5
1992-02-01,39.5
1992-03-01,39.5
1992-04-01,39.5
1992-05-01,39.5
1992-06-01,39.5
1992-07-01,39.5
1992-08-01,39.5
1992-09-01,39.5
1992-10-01,37.25
1992-11-01,35.0
1992-12-01,35.0
1993-01-01,35.0
1993-02-01,31.0
1993-03-01,31.0
1993-04-01,31.0
1993-05-01,31.0
1993-06-01,31.0
1993-07-01,31.0
1993-08-01,31.0
1993-09-01,31.0
1993-10-01,31.0
1993-11-01,31.0
1993-12-01,31.0
1994-01-01,31.0
1994-02-01,31.0
1994-03-01,29.5
1994-04-01,29.5
1994-05-01,31.4
1994-06-01,33.6
1994-07-01,33.1
1994-08-01,33.1
1994-09-01,33.1
1994-10-01,33.1
1994-11-01,33.1
1994-12-01,36.1
1995-01-01,37.1
1995-02-01,37.6
1995-03-01,38.35
1995-04-01,37.1
1995-05-01,38.77
1995-06-01,40.77
1995-07-01,41.05
1995-08-01,40.88
1995-09-01,40.93
1995-10-01,40.97
1995-11-01,39.59
1995-12-01,39.35
1996-01-01,39.37
1996-02-01,39.28
1996-03-01,39.01
1996-04-01,39.33
1996-05-01,38.2
1996-06-01,38.2
1996-07-01,38.4
1996-08-01,38.35
1996-09-01,38.1
1996-10-01,37.6
1996-11-01,35.7
1996-12-01,35.35
1997-01-01,35.23
1997-02-01,34.6
1997-03-01,34.5
1997-04-01,35.4
1997-05-01,35.73
1997-06-01,34.5
1997-07-01,35.0
1997-08-01,36.93
1997-09-01,37.15
1997-10-01,37.15
1997-11-01,33.6
1997-12-01,31.4
1998-01-01,31.4
1998-02-01,33.44
1998-03-01,31.88
1998-04-01,31.18
1998-05-01,30.28
1998-06-01,30.0
1998-07-01,30.0
1998-08-01,26.2
1998-09-01,27.09
1998-10-01,27.1
1998-11-01,26.1
1998-12-01,26.1
1999-01-01,26.1
1999-02-01,26.1
1999-03-01,26.1
1999-04-01,26.1
1999-05-01,26.1
1999-06-01,26.1
1999-07-01,26.1
1999-08-01,26.1
1999-09-01,26.1
1999-10-01,25.6
1999-11-01,25.1
1999-12-01,25.1
2000-01-01,25.1
2000-02-01,25.1
2000-03-01,25.1
2000-04-01,25.1
2000-05-01,25.6
2000-06-01,25.6
2000-07-01,25.6
2000-08-01,25.6
2000-09-01,27.15
2000-10-01,27.15
2000-11-01,27.15
2000-12-01,30.75
2001-01-01,32.1
2001-02-01,32.1
2001-03-01,32.6
2001-04-01,33.5
2001-05-01,33.8
2001-06-01,33.9
2001-07-01,34.0
2001-08-01,33.8
2001-09-01,32.8
2001-10-01,32.4
2001-11-01,29.4
2001-12-01,27.35
2002-01-01,27.35
2002-02-01,28.1
2002-03-01,27.8
2002-04-01,27.0875
2002-05-01,26.875
2002-06-01,24.9
2002-07-01,23.15
2002-08-01,22.25
2002-09-01,22.7
2002-10-01,24.5
2002-11-01,24.5
2002-12-01,24.5
2003-01-01,24.9
2003-02-01,25.15
2003-03-01,24.4
2003-04-01,23.45
2003-05-01,23.3
2003-06-01,24.1
2003-07-01,24.35
2003-08-01,25.325
2003-09-01,26.7
2003-10-01,27.5
2003-11-01,29.9125
2003-12-01,34.0
2004-01-01,37.75
2004-02-01,41.75
2004-03-01,48.9375
2004-04-01,53.25
2004-05-01,56.4375
2004-06-01,59.55
2004-07-01,61.375
2004-08-01,59.25
2004-09-01,55.375
2004-10-01,56.625
2004-11-01,52.825
2004-12-01,52.25
2005-01-01,53.045
2005-02-01,49.8975
2005-03-01,50.925
2005-04-01,51.25
2005-05-01,51.3125
2005-06-01,51.0
2005-07-01,50.9
2005-08-01,49.125
2005-09-01,45.25
2005-10-01,42.45833333333
2005-11-01,38.0625
2005-12-01,38.225
2006-01-01,43.1875
2006-02-01,47.7
2006-03-01,49.75
2006-04-01,52.875
