date,value
1960-01-01,715.4
1960-02-01,728.19
1960-03-01,684.94
1960-04-01,723.11
1960-05-01,684.75
1960-06-01,691.59
1960-07-01,702.39
1960-08-01,675.94
1960-09-01,647.06
1960-10-01,612.66
1960-11-01,642.13
1960-12-01,636.91
1961-01-01,606.71
1961-02-01,616.63
1961-03-01,621.26
1961-04-01,631.84
1961-05-01,668.44
1961-06-01,652.12
1961-07-01,633.39
1961-08-01,636.47
1961-09-01,632.72
1961-10-01,630.3
1961-11-01,632.28
1961-12-01,634.85
1962-01-01,635.37
1962-02-01,647.94
1962-03-01,647.5
1962-04-01,645.95
1962-05-01,645.73
1962-06-01,645.51
1962-07-01,645.51
1962-08-01,645.51
1962-09-01,645.51
1962-10-01,645.95
1962-11-01,645.51
1962-12-01,645.73
1963-01-01,645.51
1963-02-01,645.51
1963-03-01,645.51
1963-04-01,645.73
1963-05-01,645.51
1963-06-01,645.73
1963-07-01,645.51
1963-08-01,645.51
1963-09-01,645.51
1963-10-01,645.51
1963-11-01,645.73
1963-12-01,650.14
1964-01-01,655.65
1964-02-01,693.79
1964-03-01,745.16
1964-04-01,861.56
1964-05-01,828.28
1964-06-01,808.43
1964-07-01,854.95
1964-08-01,999.33
1964-09-01,1162.05
1964-10-01,1358.27
1964-11-01,1400.37
1964-12-01,1269.2
1965-01-01,1000.68
1965-02-01,1179.91
1965-03-01,1237.23
1965-04-01,1348.34
1965-05-01,1378.55
1965-06-01,1308.88
1965-07-01,1134.06
1965-08-01,1209.9
1965-09-01,1327.84
1965-10-01,1401.92
1965-11-01,1469.16
1965-12-01,1517.66
1966-01-01,1679.04
1966-02-01,1874.37
1966-03-01,1874.81
1966-04-01,1907.44
1966-05-01,1663.61
1966-06-01,1695.79
1966-07-01,1567.93
1966-08-01,1195.34
1966-09-01,1128.32
1966-10-01,1275.37
1966-11-01,1301.61
1966-12-01,1214.53
1967-01-01,1243.85
1967-02-01,1220.48
1967-03-01,1098.34
1967-04-01,994.72
1967-05-01,1036.17
1967-06-01,1015.22
1967-07-01,997.37
1967-08-01,1044.55
1967-09-01,1060.2
1967-10-01,1138.47
1967-11-01,1443.81
1967-12-01,1324.09
