date,value
2014-12-31,63.19
2015-01-02,63.356
2015-01-05,63.463
2015-01-06,63.572
2015-01-07,63.175
2015-01-08,62.568
2015-01-09,62.324
2015-01-12,62.164
2015-01-13,62.043
2015-01-14,62.189
2015-01-15,61.783
2015-01-16,61.862
2015-01-19,61.712
2015-01-20,61.707
2015-01-21,61.575
2015-01-22,61.559
2015-01-23,61.498
2015-01-26,61.427
2015-01-27,61.384
2015-01-28,61.405
2015-01-29,61.9
2015-01-30,62.019
2015-02-02,61.869
2015-02-03,61.717
2015-02-04,61.833
2015-02-05,61.739
2015-02-06,61.714
2015-02-09,62.13
2015-02-10,62.195
2015-02-11,62.355
2015-02-12,62.277
2015-02-13,62.17
2015-02-16,62.214
2015-02-17,62.189
2015-02-18,62.302
2015-02-19,62.21
2015-02-20,62.234
2015-02-23,62.315
2015-02-24,62.203
2015-02-25,61.967
2015-02-26,61.751
2015-02-27,61.817
2015-03-02,61.942
2015-03-03,61.922
2015-03-04,62.264
2015-03-05,62.255
2015-03-06,62.397
2015-03-09,62.68
2015-03-10,62.786
2015-03-11,62.781
2015-03-12,62.448
2015-03-13,63.028
2015-03-16,62.872
2015-03-17,62.732
2015-03-18,62.76
2015-03-19,62.583
2015-03-20,62.332
2015-03-23,62.277
2015-03-24,62.327
2015-03-25,62.371
2015-03-26,62.727
2015-03-27,62.518
2015-03-30,62.626
2015-03-31,62.528
2015-04-01,62.497
2015-04-02,62.182
2015-04-07,62.32
2015-04-08,62.245
2015-04-09,62.198
2015-04-10,62.356
2015-04-13,62.421
2015-04-14,62.386
2015-04-15,62.372
2015-04-16,62.26
2015-04-17,62.395
2015-04-20,62.973
2015-04-21,62.906
2015-04-22,62.945
2015-04-23,63.323
2015-04-24,63.562
2015-04-27,63.568
2015-04-28,63.145
2015-04-29,63.428
2015-04-30,63.5
2015-05-04,63.662
2015-05-05,63.429
2015-05-06,63.54
2015-05-07,64.156
2015-05-08,63.99
2015-05-11,63.844
2015-05-12,64.29
2015-05-13,64.01
2015-05-14,63.68
2015-05-15,63.662
2015-05-18,63.668
2015-05-19,63.699
2015-05-20,63.794
2015-05-21,63.613
2015-05-22,63.471
2015-05-25,63.56
2015-05-26,63.925
2015-05-27,64.051
2015-05-28,63.823
2015-05-29,63.8
2015-06-01,63.699
2015-06-02,63.836
2015-06-03,63.905
2015-06-04,64.006
2015-06-05,63.79
2015-06-08,64.089
2015-06-09,63.974
2015-06-10,63.874
2015-06-11,63.981
2015-06-12,64.079
2015-06-15,64.167
2015-06-16,64.309
2015-06-17,64.14
2015-06-18,63.732
2015-06-19,63.562
2015-06-22,63.526
2015-06-23,63.615
2015-06-24,63.589
2015-06-25,63.582
2015-06-26,63.601
2015-06-29,63.837
2015-06-30,63.622
2015-07-01,63.605
2015-07-02,63.513
2015-07-03,63.439
2015-07-06,63.445
2015-07-07,63.485
2015-07-08,63.597
2015-07-09,63.39
2015-07-10,63.4
2015-07-13,63.542
2015-07-14,63.34
2015-07-15,63.423
2015-07-16,63.511
2015-07-17,63.474
2015-07-20,63.655
2015-07-21,63.61
