date,value
1960-01-01,260.8
1960-02-01,244.9
1960-03-01,248.7
1960-04-01,254.6
1960-05-01,253.8
1960-06-01,249.8
1960-07-01,248.7
1960-08-01,241.0
1960-09-01,240.1
1960-10-01,242.3
1960-11-01,241.4
1960-12-01,228.2
1961-01-01,218.0
1961-02-01,228.2
1961-03-01,233.2
1961-04-01,231.3
1961-05-01,227.1
1961-06-01,217.8
1961-07-01,214.7
1961-08-01,210.8
1961-09-01,203.7
1961-10-01,198.2
1961-11-01,191.8
1961-12-01,196.9
1962-01-01,193.6
1962-02-01,189.6
1962-03-01,191.4
1962-04-01,191.4
1962-05-01,188.5
1962-06-01,184.7
1962-07-01,182.1
1962-08-01,178.1
1962-09-01,176.6
1962-10-01,181.9
1962-11-01,188.5
1962-12-01,184.7
1963-01-01,186.3
1963-02-01,191.6
1963-03-01,197.5
1963-04-01,204.4
1963-05-01,209.4
1963-06-01,209.2
1963-07-01,204.8
1963-08-01,210.3
1963-09-01,211.2
1963-10-01,220.9
1963-11-01,231.5
1963-12-01,261.0
1964-01-01,264.1
1964-02-01,270.5
1964-03-01,277.1
1964-04-01,298.7
1964-05-01,343.0
1964-06-01,357.1
1964-07-01,385.1
1964-08-01,345.2
1964-09-01,355.1
1964-10-01,334.4
1964-11-01,344.6
1964-12-01,343.0
1965-01-01,322.3
1965-02-01,320.3
1965-03-01,315.9
1965-04-01,315.9
1965-05-01,323.4
1965-06-01,314.4
1965-07-01,310.4
1965-08-01,303.6
1965-09-01,299.6
1965-10-01,307.8
1965-11-01,298.7
1965-12-01,302.7
1966-01-01,302.7
1966-02-01,299.8
1966-03-01,300.7
1966-04-01,278.7
1966-05-01,270.0
1966-06-01,272.1
1966-07-01,264.6
1966-08-01,264.6
1966-09-01,270.5
1966-10-01,276.0
1966-11-01,288.1
1966-12-01,285.5
1967-01-01,279.5
1967-02-01,282.2
1967-03-01,279.3
1967-04-01,272.1
1967-05-01,275.1
1967-06-01,274.3
1967-07-01,267.2
1967-08-01,268.7
1967-09-01,264.6
1967-10-01,263.9
1967-11-01,287.0
1967-12-01,266.1
1968-01-01,262.8
1968-02-01,259.7
1968-03-01,257.5
1968-04-01,258.2
1968-05-01,261.5
1968-06-01,262.1
1968-07-01,265.7
1968-08-01,269.0
1968-09-01,263.0
1968-10-01,262.1
1968-11-01,264.1
1968-12-01,269.0
1969-01-01,269.4
1969-02-01,267.4
1969-03-01,271.6
1969-04-01,272.7
1969-05-01,278.9
1969-06-01,281.3
1969-07-01,283.7
1969-08-01,293.9
1969-09-01,299.4
1969-10-01,298.9
1969-11-01,309.5
1969-12-01,310.2
1970-01-01,302.4
1970-02-01,298.0
1970-03-01,296.0
1970-04-01,293.4
1970-05-01,291.7
1970-06-01,293.2
1970-07-01,298.1
1970-08-01,298.1
1970-09-01,300.0
1970-10-01,296.5
1970-11-01,293.2
1970-12-01,289.2
1971-01-01,284.6
1971-02-01,272.1
1971-03-01,283.7
1971-04-01,283.5
1971-05-01,287.7
1971-06-01,308.6
1971-07-01,317.6
1971-08-01,322.5
1971-09-01,311.2
1971-10-01,336.6
1971-11-01,344.4
1971-12-01,358.9
1972-01-01,379.8
1972-02-01,389.7
1972-03-01,397.4
1972-04-01,395.0
1972-05-01,386.2
1972-06-01,371.0
1972-07-01,363.7
1972-08-01,363.5
1972-09-01,368.4
1972-10-01,363.7
1972-11-01,378.9
1972-12-01,375.0
1973-01-01,387.0
1973-02-01,422.0
1973-03-01,474.0
1973-04-01,513.0
1973-05-01,549.0
1973-06-01,656.0
1973-07-01,842.0
1973-08-01,914.0
1973-09-01,976.0
1973-10-01,1163.0
1973-11-01,1625.0
1973-12-01,1623.0
1974-01-01,1330.0
1974-02-01,1516.0
1974-03-01,1630.0
1974-04-01,1743.0
1974-05-01,1782.0
1974-06-01,1410.0
1974-07-01,1097.0
1974-08-01,1066.0
1974-09-01,911.0
1974-10-01,825.0
1974-11-01,794.0
1974-12-01,771.0
1975-01-01,799.0
1975-02-01,794.0
1975-03-01,803.0
1975-04-01,783.0
1975-05-01,747.0
1975-06-01,751.0
1975-07-01,707.0
1975-08-01,737.0
1975-09-01,724.0
1975-10-01,706.0
1975-11-01,705.0
1975-12-01,686.0
1976-01-01,692.0
1976-02-01,690.0
1976-03-01,728.0
1976-04-01,789.0
1976-05-01,774.0
1976-06-01,750.0
1976-07-01,776.0
1976-08-01,741.0
1976-09-01,712.0
1976-10-01,639.0
1976-11-01,604.0
1976-12-01,642.0
1977-01-01,692.0
1977-02-01,703.0
1977-03-01,719.0
1977-04-01,655.0
1977-05-01,611.0
1977-06-01,542.0
1977-07-01,542.0
1977-08-01,520.0
1977-09-01,518.0
1977-10-01,511.0
1977-11-01,525.0
1977-12-01,538.0
1978-01-01,518.0
1978-02-01,478.0
1978-03-01,507.0
1978-04-01,553.0
1978-05-01,562.0
1978-06-01,578.0
1978-07-01,584.0
1978-08-01,618.0
1978-09-01,634.0
1978-10-01,713.0
1978-11-01,695.0
1978-12-01,687.0
1979-01-01,720.0
1979-02-01,793.0
1979-03-01,795.0
1979-04-01,789.0
1979-05-01,778.0
1979-06-01,754.0
1979-07-01,722.0
1979-08-01,665.0
1979-09-01,724.0
1979-10-01,707.0
1979-11-01,702.0
1979-12-01,751.0
1980-01-01,774.0
1980-02-01,870.0
1980-03-01,743.0
1980-04-01,708.0
1980-05-01,691.5
1980-06-01,678.1
1980-07-01,714.0
1980-08-01,769.0
1980-09-01,796.0
1980-10-01,805.0
1980-11-01,802.0
1980-12-01,784.0
1981-01-01,777.4
1981-02-01,731.0
1981-03-01,751.0
1981-04-01,824.0
1981-05-01,851.0
1981-06-01,840.0
1981-07-01,865.1
1981-08-01,955.0
1981-09-01,939.2
1981-10-01,891.7
1981-11-01,876.9
1981-12-01,845.5
1982-01-01,818.5
1982-02-01,822.9
1982-03-01,789.7
1982-04-01,742.5
1982-05-01,750.2
1982-06-01,691.9
1982-07-01,726.9
1982-08-01,715.5
1982-09-01,749.5
1982-10-01,751.3
1982-11-01,710.0
1982-12-01,668.5
1983-01-01,699.1
1983-02-01,681.4
1983-03-01,678.4
1983-04-01,697.5
1983-05-01,735.6
1983-06-01,718.4
1983-07-01,739.8
1983-08-01,808.9
1983-09-01,837.8
1983-10-01,859.0
1983-11-01,859.1
1983-12-01,857.0
1984-01-01,957.8
1984-02-01,998.4
1984-03-01,1040.6
1984-04-01,1004.1
1984-05-01,1001.3
1984-06-01,941.5
1984-07-01,853.6
1984-08-01,834.1
1984-09-01,873.3
1984-10-01,843.7
1984-11-01,855.1
1984-12-01,859.7
1985-01-01,867.1
1985-02-01,886.6
1985-03-01,920.9
1985-04-01,931.3
1985-05-01,881.3
1985-06-01,808.0
1985-07-01,766.8
1985-08-01,735.1
1985-09-01,689.5
1985-10-01,631.9
1985-11-01,597.5
1985-12-01,685.3
1986-01-01,644.0
1986-02-01,608.7
1986-03-01,625.7
1986-04-01,659.9
1986-05-01,707.3
1986-06-01,804.2
1986-07-01,807.1
1986-08-01,816.0
1986-09-01,871.1
1986-10-01,886.2
1986-11-01,820.0
1986-12-01,798.2
1987-01-01,759.7
1987-02-01,740.4
1987-03-01,731.6
1987-04-01,761.9
1987-05-01,838.7
1987-06-01,878.4
1987-07-01,829.8
1987-08-01,804.1
1987-09-01,756.7
1987-10-01,769.9
1987-11-01,848.0
1987-12-01,866.3
1988-01-01,878.5
1988-02-01,876.4
1988-03-01,981.9
1988-04-01,1069.2
1988-05-01,1176.7
1988-06-01,1365.3
1988-07-01,1237.4
1988-08-01,1309.2
1988-09-01,1330.3
1988-10-01,1519.9
1988-11-01,1559.0
1988-12-01,1594.3
1989-01-01,1734.0
1989-02-01,1932.4
1989-03-01,1961.6
1989-04-01,1656.4
1989-05-01,1628.4
1989-06-01,1539.0
1989-07-01,1616.9
1989-08-01,1730.4
1989-09-01,1628.9
1989-10-01,1584.6
1989-11-01,1437.6
1989-12-01,1455.0
1990-01-01,1297.0
1990-02-01,1396.8
1990-03-01,1607.4
1990-04-01,1685.6
1990-05-01,1774.6
1990-06-01,1714.8
1990-07-01,1637.0
1990-08-01,1615.1
