commodity,month,horizon,p50,p10,p90,model
"SILICO MANGANESE,25 TO 50 MM",2026-06-01,1,73601.5230479966,69444.10750636514,77758.93858962807,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2026-07-01,2,73601.5230479966,69444.10750636514,77758.93858962807,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2026-08-01,3,73601.5230479966,69277.54951662262,77925.49657937058,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2026-09-01,4,73601.5230479966,68608.62848338143,78594.41761261177,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2026-10-01,5,73601.5230479966,68019.29722251222,79183.74887348097,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2026-11-01,6,73601.5230479966,67486.50103658522,79716.54505940797,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2026-12-01,7,73601.5230479966,66996.54437782767,80206.50171816553,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2027-01-01,8,73601.5230479966,66540.50383921892,80662.5422567743,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2027-02-01,9,73601.5230479966,66112.18120107384,81090.86489491936,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2027-03-01,10,73601.5230479966,65707.06357736725,81495.98251862594,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2027-04-01,11,73601.5230479966,65321.74410367989,81881.30199231331,Moving average (auto-k)
"SILICO MANGANESE,25 TO 50 MM",2027-05-01,12,73601.5230479966,64953.57598524863,82249.47011074457,Moving average (auto-k)
BOF STEEL LADLE SET,2026-08-01,1,2117416.1118169497,1604471.629957522,2630360.5936763776,Seasonal naive (12m)
BOF STEEL LADLE SET,2026-09-01,2,2090582.8863223405,1584138.7587726468,2597027.0138720344,Seasonal naive (12m)
BOF STEEL LADLE SET,2026-10-01,3,2064089.708297106,1564063.5584888316,2564115.858105381,Seasonal naive (12m)
BOF STEEL LADLE SET,2026-11-01,4,2037932.2684463668,1508206.4689989667,2567658.067893767,Seasonal naive (12m)
BOF STEEL LADLE SET,2026-12-01,5,2012106.31208532,1427360.2455358116,2596852.378634828,Seasonal naive (12m)
BOF STEEL LADLE SET,2027-01-01,6,1986607.6384471992,1354167.9593461675,2619047.3175482308,Seasonal naive (12m)
BOF STEEL LADLE SET,2027-02-01,7,1961432.1,1286976.007687194,2635888.192312806,Seasonal naive (12m)
BOF STEEL LADLE SET,2027-03-01,8,1894507.5082634825,1198085.1463212448,2590929.87020572,Seasonal naive (12m)
BOF STEEL LADLE SET,2027-04-01,9,1829866.4016290524,1116402.472410349,2543330.3308477555,Seasonal naive (12m)
BOF STEEL LADLE SET,2027-05-01,10,1767430.866969762,1041034.2400495836,2493827.4938899404,Seasonal naive (12m)
BOF STEEL LADLE SET,2027-06-01,11,1707125.649575561,971269.0085238344,2442982.290627288,Seasonal naive (12m)
BOF STEEL LADLE SET,2027-07-01,12,1648878.0624473696,906524.9282679708,2391231.1966267684,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2025-10-01,1,1404.1502450116575,1244.421765364395,1563.87872465892,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2025-11-01,2,1548.9999999999998,1372.794201615828,1725.2057983841717,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2025-12-01,3,1452.736572928353,1287.4811773991564,1617.9919684575502,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-01-01,4,1362.455487620153,1189.176418255232,1535.734556985074,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-02-01,5,1277.7849682716137,1096.092650245796,1459.4772862974314,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-03-01,6,1198.3763432835822,1011.7114522787804,1385.0412342883842,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-04-01,7,1166.6670314715814,970.3808465098148,1362.953216433348,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-05-01,8,1135.7967552941086,931.5103785225376,1340.0831320656794,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-06-01,9,1105.7433136765974,894.7982507831562,1316.6883765700386,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-07-01,10,1076.485092989985,860.0130535212251,1292.957132458745,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-08-01,11,1173.299052508546,925.8425609446688,1420.755544072423,Seasonal naive (12m)
"FERRO VANADIUM,IS:1466-1985",2026-09-01,12,1278.82,997.1154695663208,1560.524530433679,Seasonal naive (12m)
"LINING,TUNDISH FOR BILLET CASTER",2026-08-01,1,192988.36835774253,172997.12028392585,212979.6164315592,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2026-09-01,2,205975.3719939105,184638.82827541063,227311.91571241044,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2026-10-01,3,211139.32970554844,189267.86276584852,233010.7966452483,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2026-11-01,4,203631.53966683167,182537.78847460056,224725.2908590628,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2026-12-01,5,196633.59739389992,176264.74792074598,217002.44686705383,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2027-01-01,6,201968.529837952,180906.15923722103,223030.90043868305,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2027-02-01,7,215822.53066886283,191512.04017541325,240133.0211623124,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2027-03-01,8,216572.91909847927,190493.55098843767,242652.28720852092,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2027-04-01,9,203447.779974574,177462.81530868367,229432.74464046425,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2027-05-01,10,200801.70917560929,173767.3969159976,227836.02143522093,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2027-06-01,11,196409.62633342715,168675.9761896457,224143.27647720856,K-nearest neighbours
"LINING,TUNDISH FOR BILLET CASTER",2027-07-01,12,195476.6360572234,166647.3823299868,224305.88978446,K-nearest neighbours
"FERRO MANGANESE,25-50MM",2026-07-01,1,72679.30639791452,70500.00144161172,74858.61135421734,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2026-08-01,2,71912.71496434823,69756.39642045673,74069.03350823974,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2026-09-01,3,71121.09328460018,68859.14892471638,73383.03764448398,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2026-10-01,4,70358.40264459011,67774.54351146719,72942.26177771304,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2026-11-01,5,69857.0368236833,66988.78004628408,72725.29360108254,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2026-12-01,6,69278.32741769098,66162.338635152,72394.31620022994,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2027-01-01,7,71264.09955638765,67801.97499941906,74726.22411335623,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2027-02-01,8,73492.33821001578,69675.4457423777,77309.23067765385,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2027-03-01,9,75469.9112684326,71312.54813530488,79627.27440156031,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2027-04-01,10,77639.17960478379,73130.97307174852,82147.38613781906,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2027-05-01,11,80048.762454586,75173.77131030115,84923.75359887086,Holt-Winters seasonal
"FERRO MANGANESE,25-50MM",2027-06-01,12,76205.37576068947,71358.08469881145,81052.66682256748,Holt-Winters seasonal
"CASTABLE,LOW CEMENT GEL BONDED",2026-07-01,1,191.16386925380635,171.38170881671277,210.94602969089988,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2026-08-01,2,192.13602964739576,172.2532673918119,212.0187919029796,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2026-09-01,3,193.1131339450534,173.12925826225398,213.0970096278528,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2026-10-01,4,194.09520728891343,171.25503613154112,216.93537844628577,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2026-11-01,5,195.0822749489707,169.4163239750162,220.7482259229252,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2026-12-01,6,196.0743623237295,167.81574012625936,224.33298452119968,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2027-01-01,7,197.0714949408579,166.39347129928404,227.74951858243176,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2027-02-01,8,198.0736984578448,165.11072725265407,231.0366696630356,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2027-03-01,9,199.0809986626593,163.94068674706878,234.22131057824987,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2027-04-01,10,200.09342147441532,162.86390830838334,237.32293464044744,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2027-05-01,11,201.11099294403732,161.8657791278124,240.3562067602624,Linear trend
"CASTABLE,LOW CEMENT GEL BONDED",2027-06-01,12,202.133739254932,160.93499491137567,243.3324835984883,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2026-07-01,1,47.58288514150669,42.08462646554502,53.08114381746835,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2026-08-01,2,47.85915501393386,42.32897302734354,53.389337000524165,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2026-09-01,3,48.13702893038198,42.56233628274834,53.71172157801563,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2026-10-01,4,48.41651620405339,41.94204130383834,54.89099110426844,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2026-11-01,5,48.69762620222361,41.41691485704763,55.97833754739959,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2026-12-01,6,48.98036834655522,40.9584416115011,57.00229508160933,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2027-01-01,7,49.26475211341376,40.549773190898925,57.97973103592858,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2027-02-01,8,49.55078703418525,40.17998917541796,58.92158489295255,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2027-03-01,9,49.83848269559561,39.84154268701994,59.83542270417127,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2027-04-01,10,50.12784874003217,39.528966027596006,60.72673145246833,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2027-05-01,11,50.41889486586653,39.23815137703986,61.599638354693205,Linear trend
"TAP HOLE MASS,TYPE:HP ANHUDROUS",2027-06-01,12,50.71163082777989,38.96592230330936,62.45733935225042,Linear trend
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-01-01,1,61436.57870448492,48629.10789809046,74244.04951087938,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-02-01,2,64109.92697908051,50745.1525157409,77474.70144242012,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-03-01,3,66125.98913757953,52340.93317772215,79911.04509743692,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-04-01,4,68077.21895448393,53885.39687184528,82269.04103712259,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-05-01,5,70360.43486769758,55692.63867045472,85028.23106494044,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-06-01,6,73217.84943933204,57920.34561289286,88515.35326577122,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-07-01,7,76552.14735740864,59276.49825237593,93827.79646244136,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-08-01,8,80059.86776807219,60745.17347462185,99374.56206152252,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-09-01,9,83409.15140512328,62065.78430527607,104752.51850497047,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-10-01,10,86304.80422838329,63025.87776235771,109583.73069440886,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-11-01,11,88577.04821364887,63519.09910754149,113634.99731975624,Bayesian ridge (lags)
"CALCINED PETROLEUM COKE, SIZE : 2-10MM",2026-12-01,12,89847.96859491634,63300.27098635217,116395.66620348052,Bayesian ridge (lags)
"CASTABLE,90% HIGH ALUMINA",2025-06-01,1,87.26678873705383,80.67145730239086,93.8621201717168,Moving average (auto-k)
